encoding,dataset,filename,Lmax,status,time_s
seqcounter,40-S,40_05_005_100_25_1.GSP,121,TIMEOUT,599.99
seqcounter,40-S,40_05_005_100_50_1.GSP,108,FINISHED,0.57
seqcounter,40-S,40_05_005_100_75_1.GSP,133,FINISHED,0.64
seqcounter,40-S,40_05_005_125_25_1.GSP,88,FINISHED,380.48
seqcounter,40-S,40_05_005_125_50_1.GSP,114,FINISHED,0.76
seqcounter,40-S,40_05_005_125_75_1.GSP,152,FINISHED,1.31
seqcounter,40-S,40_05_025_100_25_1.GSP,91,TIMEOUT,599.99
seqcounter,40-S,40_05_025_100_50_1.GSP,90,FINISHED,1.1
seqcounter,40-S,40_05_025_100_75_1.GSP,100,FINISHED,0.58
seqcounter,40-S,40_05_025_125_25_1.GSP,74,TIMEOUT,600.01
seqcounter,40-S,40_05_025_125_50_1.GSP,85,FINISHED,1.4
seqcounter,40-S,40_05_025_125_75_1.GSP,153,FINISHED,0.79
seqcounter,40-S,40_05_050_100_25_1.GSP,58,FINISHED,0.8
seqcounter,40-S,40_05_050_100_50_1.GSP,77,FINISHED,2.39
seqcounter,40-S,40_05_050_100_75_1.GSP,90,FINISHED,0.87
seqcounter,40-S,40_05_050_125_25_1.GSP,59,FINISHED,0.51
seqcounter,40-S,40_05_050_125_50_1.GSP,92,FINISHED,13.66
seqcounter,40-S,40_05_050_125_75_1.GSP,118,FINISHED,1.61
seqcounter,40-S,40_10_005_100_25_1.GSP,77,FINISHED,0.43
seqcounter,40-S,40_10_005_100_50_1.GSP,55,FINISHED,0.44
seqcounter,40-S,40_10_005_100_75_1.GSP,115,FINISHED,0.41
seqcounter,40-S,40_10_005_125_25_1.GSP,164,FINISHED,0.39
seqcounter,40-S,40_10_005_125_50_1.GSP,52,FINISHED,0.43
seqcounter,40-S,40_10_005_125_75_1.GSP,130,FINISHED,0.48
seqcounter,40-S,40_10_025_100_25_1.GSP,4,FINISHED,0.72
seqcounter,40-S,40_10_025_100_50_1.GSP,81,FINISHED,0.44
seqcounter,40-S,40_10_025_100_75_1.GSP,136,FINISHED,0.44
seqcounter,40-S,40_10_025_125_25_1.GSP,11,FINISHED,0.55
seqcounter,40-S,40_10_025_125_50_1.GSP,94,FINISHED,0.95
seqcounter,40-S,40_10_025_125_75_1.GSP,125,FINISHED,0.45
seqcounter,40-S,40_10_050_100_25_1.GSP,71,FINISHED,0.52
seqcounter,40-S,40_10_050_100_50_1.GSP,4,FINISHED,0.42
seqcounter,40-S,40_10_050_100_75_1.GSP,9,FINISHED,0.46
seqcounter,40-S,40_10_050_125_25_1.GSP,0,FINISHED,0.58
seqcounter,40-S,40_10_050_125_50_1.GSP,11,FINISHED,0.47
seqcounter,40-S,40_10_050_125_75_1.GSP,84,FINISHED,0.71
