encoding,dataset,filename,Lmax,status,time_s
seqcounter,10-S,10_05_005_100_25_1.GSP,20,FINISHED,0.32
seqcounter,10-S,10_05_005_100_50_1.GSP,16,FINISHED,0.32
seqcounter,10-S,10_05_005_100_75_1.GSP,23,FINISHED,0.33
seqcounter,10-S,10_05_005_125_25_1.GSP,22,FINISHED,0.32
seqcounter,10-S,10_05_005_125_50_1.GSP,35,FINISHED,0.32
seqcounter,10-S,10_05_005_125_75_1.GSP,37,FINISHED,0.33
seqcounter,10-S,10_05_025_100_25_1.GSP,14,FINISHED,0.31
seqcounter,10-S,10_05_025_100_50_1.GSP,28,FINISHED,0.31
seqcounter,10-S,10_05_025_100_75_1.GSP,34,FINISHED,0.31
seqcounter,10-S,10_05_025_125_25_1.GSP,22,FINISHED,0.34
seqcounter,10-S,10_05_025_125_50_1.GSP,23,FINISHED,0.31
seqcounter,10-S,10_05_025_125_75_1.GSP,27,FINISHED,0.31
seqcounter,10-S,10_05_050_100_25_1.GSP,8,FINISHED,0.31
seqcounter,10-S,10_05_050_100_50_1.GSP,19,FINISHED,0.38
seqcounter,10-S,10_05_050_100_75_1.GSP,18,FINISHED,0.33
seqcounter,10-S,10_05_050_125_25_1.GSP,12,FINISHED,0.32
seqcounter,10-S,10_05_050_125_50_1.GSP,22,FINISHED,0.31
seqcounter,10-S,10_05_050_125_75_1.GSP,18,FINISHED,0.31
seqcounter,10-S,10_10_005_100_25_1.GSP,-,UNSAT,0.29
seqcounter,10-S,10_10_005_100_50_1.GSP,-,UNSAT,0.3
seqcounter,10-S,10_10_005_100_75_1.GSP,-,UNSAT,0.3
seqcounter,10-S,10_10_005_125_25_1.GSP,22,FINISHED,0.41
seqcounter,10-S,10_10_005_125_50_1.GSP,13,FINISHED,0.3
seqcounter,10-S,10_10_005_125_75_1.GSP,20,FINISHED,0.3
seqcounter,10-S,10_10_025_100_25_1.GSP,6,FINISHED,0.31
seqcounter,10-S,10_10_025_100_50_1.GSP,4,FINISHED,0.3
seqcounter,10-S,10_10_025_100_75_1.GSP,15,FINISHED,0.3
seqcounter,10-S,10_10_025_125_25_1.GSP,8,FINISHED,0.3
seqcounter,10-S,10_10_025_125_50_1.GSP,4,FINISHED,0.31
seqcounter,10-S,10_10_025_125_75_1.GSP,9,FINISHED,0.31
seqcounter,10-S,10_10_050_100_25_1.GSP,3,FINISHED,0.34
seqcounter,10-S,10_10_050_100_50_1.GSP,3,FINISHED,0.32
seqcounter,10-S,10_10_050_100_75_1.GSP,9,FINISHED,0.32
seqcounter,10-S,10_10_050_125_25_1.GSP,3,FINISHED,0.31
seqcounter,10-S,10_10_050_125_50_1.GSP,7,FINISHED,0.3
seqcounter,10-S,10_10_050_125_75_1.GSP,0,FINISHED,0.33
