encoding,dataset,filename,Lmax,status,time_s
seqcounter,50-S,50_05_005_100_25_1.GSP,121,TIMEOUT,600.0
seqcounter,50-S,50_05_005_100_50_1.GSP,177,TIMEOUT,600.01
seqcounter,50-S,50_05_005_100_75_1.GSP,181,FINISHED,14.41
seqcounter,50-S,50_05_005_125_25_1.GSP,149,TIMEOUT,600.0
seqcounter,50-S,50_05_005_125_50_1.GSP,169,FINISHED,23.82
seqcounter,50-S,50_05_005_125_75_1.GSP,175,FINISHED,5.34
seqcounter,50-S,50_05_025_100_25_1.GSP,138,TIMEOUT,600.0
seqcounter,50-S,50_05_025_100_50_1.GSP,142,FINISHED,0.5
seqcounter,50-S,50_05_025_100_75_1.GSP,121,FINISHED,3.47
seqcounter,50-S,50_05_025_125_25_1.GSP,101,FINISHED,9.65
seqcounter,50-S,50_05_025_125_50_1.GSP,124,FINISHED,29.86
seqcounter,50-S,50_05_025_125_75_1.GSP,126,FINISHED,1.4
seqcounter,50-S,50_05_050_100_25_1.GSP,82,TIMEOUT,600.01
seqcounter,50-S,50_05_050_100_50_1.GSP,122,TIMEOUT,600.0
seqcounter,50-S,50_05_050_100_75_1.GSP,172,FINISHED,2.97
seqcounter,50-S,50_05_050_125_25_1.GSP,122,TIMEOUT,600.01
seqcounter,50-S,50_05_050_125_50_1.GSP,108,TIMEOUT,600.02
seqcounter,50-S,50_05_050_125_75_1.GSP,157,FINISHED,2.02
seqcounter,50-S,50_10_005_100_25_1.GSP,121,FINISHED,0.45
seqcounter,50-S,50_10_005_100_50_1.GSP,78,FINISHED,0.52
seqcounter,50-S,50_10_005_100_75_1.GSP,132,FINISHED,0.45
seqcounter,50-S,50_10_005_125_25_1.GSP,15,FINISHED,0.88
seqcounter,50-S,50_10_005_125_50_1.GSP,158,FINISHED,0.48
seqcounter,50-S,50_10_005_125_75_1.GSP,212,FINISHED,0.53
seqcounter,50-S,50_10_025_100_25_1.GSP,94,FINISHED,0.47
seqcounter,50-S,50_10_025_100_50_1.GSP,22,FINISHED,0.52
seqcounter,50-S,50_10_025_100_75_1.GSP,119,FINISHED,0.51
seqcounter,50-S,50_10_025_125_25_1.GSP,85,FINISHED,0.61
seqcounter,50-S,50_10_025_125_50_1.GSP,123,FINISHED,1.07
seqcounter,50-S,50_10_025_125_75_1.GSP,77,FINISHED,0.65
seqcounter,50-S,50_10_050_100_25_1.GSP,33,FINISHED,0.57
seqcounter,50-S,50_10_050_100_50_1.GSP,132,FINISHED,0.49
seqcounter,50-S,50_10_050_100_75_1.GSP,214,FINISHED,0.47
seqcounter,50-S,50_10_050_125_25_1.GSP,91,FINISHED,0.52
seqcounter,50-S,50_10_050_125_50_1.GSP,82,FINISHED,0.71
seqcounter,50-S,50_10_050_125_75_1.GSP,125,FINISHED,0.5
